,PDF,Palabra,Frecuencia
0,PSOE,electoral,7
1,PSOE,elecciones,10
2,PSOE,generales,11
3,PSOE,julio,269
4,PSOE,índiceíndice,1
5,PSOE,mejor,81
6,PSOE,españa,316
7,PSOE,sociedad,137
8,PSOE,economía,147
9,PSOE,avanzan,3
10,PSOE,liderazgo,23
11,PSOE,europeo,37
12,PSOE,internacional,91
13,PSOE,frente,69
14,PSOE,ola,10
15,PSOE,reaccionaria,8
16,PSOE,mira,3
17,PSOE,futuro,62
18,PSOE,bloque,20
19,PSOE,i,18
20,PSOE,política,124
21,PSOE,económica,65
22,PSOE,servicio,42
23,PSOE,ciudadanía,109
24,PSOE,crecimiento,58
25,PSOE,económico,65
26,PSOE,justo,15
27,PSOE,sostenible,93
28,PSOE,estabilidad,29
29,PSOE,financiera,30
30,PSOE,reforzando,33
31,PSOE,confianza,19
32,PSOE,ámbito,111
33,PSOE,pacto,57
34,PSOE,pleno,12
35,PSOE,empleo,133
36,PSOE,aprovechando,15
37,PSOE,proceso,41
38,PSOE,innovación,89
39,PSOE,tecnológica,14
40,PSOE,beneficio,9
41,PSOE,digitalización,84
42,PSOE,aumente,4
43,PSOE,productividad,18
44,PSOE,prosperidad,14
45,PSOE,cohesión,44
46,PSOE,social,314
47,PSOE,territorial,50
48,PSOE,poniendo,14
49,PSOE,centro,46
50,PSOE,personas,360
51,PSOE,apoyo,81
52,PSOE,empresas,139
53,PSOE,autónomos,32
54,PSOE,modernización,50
55,PSOE,impulsando,63
56,PSOE,emprendimiento,28
57,PSOE,empresarial,16
58,PSOE,familias,64
59,PSOE,trabajadores,40
60,PSOE,garantizar,116
61,PSOE,inclusión,60
62,PSOE,digital,187
63,PSOE,atendiendo,5
64,PSOE,especialmente,73
65,PSOE,mayores,65
66,PSOE,construcción,20
67,PSOE,europea,92
68,PSOE,refuerzo,41
69,PSOE,gobernanza,10
70,PSOE,global,32
71,PSOE,fisc,1
72,PSOE,alidad,2
73,PSOE,justa,38
74,PSOE,país,176
75,PSOE,moderno,7
76,PSOE,turismo,31
77,PSOE,comercio,29
78,PSOE,materia,49
79,PSOE,interior,11
80,PSOE,exterior,32
81,PSOE,industrial,26
82,PSOE,modelo,98
83,PSOE,productivo,28
84,PSOE,transform,1
85,PSOE,ación,10
86,PSOE,conectada,4
87,PSOE,derechos,207
88,PSOE,digitales,76
89,PSOE,democracia,35
90,PSOE,medidas,138
91,PSOE,afrontar,15
92,PSOE,reto,22
93,PSOE,ciberseguridad,12
94,PSOE,nuevo,79
95,PSOE,contexto,24
96,PSOE,geopolítico,3
97,PSOE,madrid,269
98,PSOE,competitiva,12
99,PSOE,apoya,3
100,PSOE,trasformación,2
101,PSOE,administraciones,61
102,PSOE,tejido,22
103,PSOE,plan,164
104,PSOE,infraestructuras,40
105,PSOE,abrazar,2
106,PSOE,disrupción,2
107,PSOE,inclusiva,20
108,PSOE,impulsar,62
109,PSOE,bienestar,129
110,PSOE,igualdad,145
111,PSOE,oportunidades,92
112,PSOE,vertebración,9
113,PSOE,convertir,7
114,PSOE,agente,2
115,PSOE,relevante,4
116,PSOE,microelectrónica,6
117,PSOE,semiconductores,13
118,PSOE,lengua,20
119,PSOE,sector,170
120,PSOE,agroalimentario,31
121,PSOE,protagonista,5
122,PSOE,desarrollo,189
123,PSOE,ru,2
124,PSOE,ral,3
125,PSOE,español,54
126,PSOE,defendemos,11
127,PSOE,valor,48
128,PSOE,primario,4
129,PSOE,innovador,10
130,PSOE,calidad,123
131,PSOE,retos,44
132,PSOE,ag,2
133,PSOE,roalimentario,1
134,PSOE,garantía,33
135,PSOE,autonomía,56
136,PSOE,alimentaria,13
137,PSOE,sana,3
138,PSOE,segura,9
139,PSOE,pesca,11
140,PSOE,acuicultura,5
141,PSOE,cuida,4
142,PSOE,recursos,104
143,PSOE,mar,14
144,PSOE,cinegético,2
145,PSOE,participa,4
146,PSOE,sostenibilidad,64
147,PSOE,mundo,55
148,PSOE,rural,109
149,PSOE,ii,8
150,PSOE,agenda,37
151,PSOE,verde,58
152,PSOE,hoy,22
153,PSOE,mañana,4
154,PSOE,energías,23
155,PSOE,renovables,26
156,PSOE,reindustrialización,9
157,PSOE,energético,16
158,PSOE,potencial,21
159,PSOE,renovable,7
160,PSOE,nuevas,89
161,PSOE,tecnologías,39
162,PSOE,horizonte,5
163,PSOE,través,120
164,PSOE,cadena,17
165,PSOE,generación,30
166,PSOE,justicia,82
167,PSOE,acceso,157
168,PSOE,energía,26
169,PSOE,consumidores,13
170,PSOE,vulnerables,40
171,PSOE,transición,67
172,PSOE,éxito,16
173,PSOE,reconversión,9
174,PSOE,energética,47
175,PSOE,mejores,31
176,PSOE,vida,123
177,PSOE,equilibrio,10
178,PSOE,ecosistemas,15
179,PSOE,medio,95
180,PSOE,urbano,18
181,PSOE,transporte,64
182,PSOE,movilidad,73
183,PSOE,apuesta,37
184,PSOE,decidida,10
185,PSOE,ferrocarril,6
186,PSOE,cercanías,9
187,PSOE,rodalies,4
188,PSOE,alta,26
189,PSOE,velocidad,11
190,PSOE,corredores,8
191,PSOE,transeuropeos,3
192,PSOE,ferroviario,6
193,PSOE,mercancías,20
194,PSOE,electrificación,5
195,PSOE,red,59
196,PSOE,carreteras,12
197,PSOE,carretera,7
198,PSOE,metropolitana,3
199,PSOE,seguridad,125
200,PSOE,viaria,5
201,PSOE,marítimo,5
202,PSOE,aéreo,6
203,PSOE,aeropuertos,4
204,PSOE,activa,20
205,PSOE,lucha,85
206,PSOE,cont,1
207,PSOE,aminación,1
208,PSOE,eficiencia,36
209,PSOE,uso,60
210,PSOE,hacia,55
211,PSOE,circular,21
212,PSOE,innovadora,6
213,PSOE,oportunidad,15
214,PSOE,residuos,10
215,PSOE,reducción,45
216,PSOE,plásticos,10
217,PSOE,envases,4
218,PSOE,mejora,93
219,PSOE,gestión,61
220,PSOE,espacio,32
221,PSOE,contaminación,13
222,PSOE,costa,7
223,PSOE,espacios,29
224,PSOE,naturales,17
225,PSOE,derecho,103
226,PSOE,ambiente,22
227,PSOE,participación,113
228,PSOE,ciudadana,31
229,PSOE,aborda,5
230,PSOE,valentía,2
231,PSOE,emergencia,10
232,PSOE,climática,25
233,PSOE,equidad,28
234,PSOE,saludable,12
235,PSOE,impulsaremos,34
236,PSOE,mayor,96
237,PSOE,ambición,6
238,PSOE,búsqueda,12
239,PSOE,acuerdos,16
240,PSOE,preservación,10
241,PSOE,océanos,3
242,PSOE,biodiversidad,12
243,PSOE,revisión,8
244,PSOE,alza,4
245,PSOE,compromisos,14
246,PSOE,climáticos,8
247,PSOE,toma,16
248,PSOE,decisiones,27
249,PSOE,acción,68
250,PSOE,conservación,10
251,PSOE,restauración,6
252,PSOE,naturaleza,9
253,PSOE,principal,8
254,PSOE,garante,4
255,PSOE,salud,178
256,PSOE,resiliente,10
257,PSOE,adaptado,5
258,PSOE,cambio,56
259,PSOE,climático,34
260,PSOE,anticipación,3
261,PSOE,sequías,4
262,PSOE,inundaciones,6
263,PSOE,desertización,2
264,PSOE,prevención,46
265,PSOE,incendios,11
266,PSOE,forestal,5
267,PSOE,protección,111
268,PSOE,med,2
269,PSOE,io,3
270,PSOE,acuerdo,34
271,PSOE,patrimonio,22
272,PSOE,natural,11
